id,league_id,season_id,venue_id,venue_city,venue_capacity,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_km,home_not_home,travel_outside_state,attendance_ratio,home_win
251728,301,765,37,Furiani,16078,1,23.9,27,48,1022,30,21,3.06,1,886,0,0,0.8161462868515985,1
251738,301,765,4451,Monaco,18523,1,17.9,25,73,1014,10,312,0.92,1,977,0,1,0.4329212330615991,0
2188,8,13,199,Hull,25400,1,20.2,54,62,1014,10,315,3.36,0,136,0,0,0.7927952755905512,0
2208,8,13,201,London,25073,1,22.2,38,62,1022,43,243,4.28,0,179,0,0,0.9767478961432616,1
2225,8,13,203,Middlesbrough,34988,1,19.0,63,61,1019,39,279,7.39,0,188,0,0,0.9177432262489996,0
2197,8,13,200,Burnley,21401,1,16.7,58,71,1021,36,283,5.08,0,265,0,1,0.8936965562356899,1
2216,8,13,12,Liverpool,40569,1,17.7,70,71,1023,16,289,7.14,0,305,0,0,0.8502551209051246,0
2234,8,13,167,Southampton,32505,1,21.3,51,67,1023,36,247,5.72,0,108,0,0,0.9687125057683432,0
251748,301,765,2081,Bordeaux,42115,1,33.7,0,25,1020,21,54,2.67,0,394,0,0,0.8123471447227829,0
2244,8,13,151,Manchester,55097,1,17.0,25,63,1015,10,292,6.0,0,168,0,0,0.9866598907381527,0
251760,301,765,126,Montpellier,22000,1,23.5,0,47,1023,41,214,3.89,0,547,0,0,0.4722272727272727,0
252147,301,765,4478,Dijon,16098,1,28.0,0,45,1021,26,170,2.08,0,499,0,0,0.5737358678096658,1
252536,301,765,633,Caen,21215,1,19.9,0,73,1024,13,5,3.58,0,271,0,0,0.7975489040773038,0
252926,301,765,2042,Longeville-lès-Metz,26661,1,26.7,0,45,1021,24,284,3.83,0,275,0,0,0.6441618844004351,0
2254,8,13,146,Bournemouth,11700,1,23.7,50,44,1016,10,313,1.81,0,305,0,0,0.9705128205128204,1
252938,301,765,2046,Tomblaine,20087,1,28.2,0,34,1020,37,310,3.58,0,340,0,0,0.9401603026833276,1
252948,301,765,51,Nice,36178,1,27.0,0,56,1021,32,168,2.56,0,846,0,0,0.5272541323456245,0
2263,8,13,204,London,60272,1,22.4,3,44,1025,41,41,3.36,0,285,0,0,0.9960346429519512,1
252959,301,765,6159,Marseille,67394,1,25.0,4,39,1013,10,239,3.42,1,322,1,0,0.5544113719322195,0
2277,8,13,321614,London,41798,1,17.8,4,62,1022,45,106,3.75,1,14,0,0,0.9933728886549597,0
252969,301,765,6161,Décines-Charpieu,59186,1,24.9,45,54,1014,10,30,1.19,1,556,0,0,0.6956205859493799,0
401484,564,853,9233,Málaga,28963,1,31.9,13,46,1017,10,217,1.03,1,714,0,0,0.7664606566999275,0
2286,8,13,206,Manchester,75635,1,16.1,65,89,1000,29,155,4.19,1,291,0,0,0.9959145898063066,0
401493,564,853,39,La Coruña,34611,1,19.0,0,77,1017,13,254,3.64,1,481,0,0,0.6464418826384676,0
2295,8,13,207,Stoke,30089,1,18.0,90,72,1014,10,202,10.08,0,55,0,0,0.9124597028814516,1
