id,league_id,season_id,venue_id,venue_city,venue_capacity,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_km,home_not_home,travel_outside_state,attendance_ratio,home_win,p_home_implied,p_draw_implied,p_away_implied
11868698,301,16043,4478,Dijon,16098,1,14.1,60,92,1016,33,152,0.5,1,243,0,0,0.7531370356566033,0,0.32523026700411123,0.3230200437223091,0.3517496892735797
11868704,301,16043,323206,Brest,15097,1,15.1,67,92,1015,14,191,6.42,1,784,0,0,0.8400344439292575,0,0.37007357087240217,0.2975370975423266,0.33238933158527123
11868706,301,16043,6162,Nantes,37473,1,16.1,96,81,1017,25,230,2.61,1,787,0,0,0.6251434366076909,0,0.4527662402813466,0.2929846754095043,0.2542490843091493
11868703,301,16043,18457,Toulouse,33150,1,17.8,52,62,1018,39,358,2.86,1,216,1,0,0.6058521870286576,1,0.3802324570412289,0.30430332515916136,0.3154642177996098
11937509,384,16415,86,Genova,36599,1,18.4,0,77,1011,10,306,1.03,1,119,0,0,0.6143883712669745,1,0.32301313304004836,0.2960363890336977,0.38095047792625397
11895880,564,16326,56,Pamplona,19800,1,15.0,27,76,1018,10,320,5.08,1,342,0,0,0.7752020202020202,0,0.3500149564317266,0.2919964227432086,0.35798862082506483
11895879,564,16326,162,Palma de Mallorca,23000,1,25.2,3,63,1018,10,213,1.33,0,201,0,0,0.6544347826086957,0,0.3787497501007933,0.3078530095623282,0.3133972403368784
11937508,384,16415,7223,Firenze,47300,1,21.5,24,56,1017,10,128,0.78,0,297,0,0,0.8026004228329809,0,0.6204497732638076,0.23321074140797593,0.14633948532821642
11886103,82,16264,180,Mönchengladbach,54057,1,9.1,88,93,1011,4,129,5.53,0,454,0,0,0.9314612353626728,0,0.6193784178826571,0.21545401117574478,0.16516757094159815
11895877,564,16326,9239,Vigo,31800,1,22.2,45,65,1022,21,268,0.44,0,488,0,0,0.619182389937107,0,0.40138932982656567,0.3157465084437375,0.28286416172969675
11937512,384,16415,7189,Roma,72698,1,23.7,27,51,1012,10,254,1.31,0,412,0,0,0.4729841261107596,0,0.6944576255463517,0.18662575791046898,0.11891661654317938
11937505,384,16415,13977,Bergamo,26393,1,19.0,69,59,1013,9,120,2.58,0,913,1,0,0.7869889743492593,0,0.7841457627896384,0.13894266541251116,0.07691157179785048
11937506,384,16415,5515,Bologna,36532,1,21.0,35,63,1013,10,14,3.25,0,299,0,0,0.6036351691667579,0,0.2732922257001138,0.2655791307781075,0.4611286435217786
11867296,8,16036,204,London,60272,1,16.3,6,62,1010,33,286,5.94,0,152,0,0,1.0,0,0.7019642494719239,0.1703554302277988,0.1276803203002772
11867300,8,16036,151,Manchester,55097,1,13.6,73,82,1011,26,297,6.56,0,99,0,0,0.9879848267600776,1,0.8433346849236644,0.1089785542527832,0.04768676082355247
11868701,301,16043,184,Villeneuve d'Ascq,50186,1,16.7,15,69,1008,18,271,10.17,0,763,0,0,0.6285019726616985,0,0.5951221854101257,0.2447597451694947,0.16011806942037957
11867303,8,16036,167,Southampton,32505,1,16.1,47,62,1012,35,294,8.36,0,106,0,0,0.9682510383017996,1,0.20653428132443002,0.2302027350477126,0.5632629836278574
11886104,82,16264,80,Wolfsburg,30000,1,9.0,39,76,1016,10,106,6.11,0,188,0,0,0.9004,0,0.49728918595317934,0.27484145090636664,0.22786936314045408
11895884,564,16326,9323,Valladolid,27846,1,23.0,0,39,1017,19,184,1.5,0,163,0,0,0.8493140846082022,0,0.16256060216072324,0.26635059296451047,0.5710888048747663
