id,result,league_id,season_id,venue_id,venue_city,attendance,venue_capacity,home_country_id,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_dist(km),colors_home_color,colors_away_color,home_not_home,travel_outside_state,attendance_ratio,season_name_codes
252990,2,301,765,6032,Lorient,11000,18110,17,0,18.1,7,68,1018,15,266,8.44,0,1153,RE,BL,0,0,0.6073992269464384,0
253036,1,301,765,135,Rennes,20705,29778,17,1,19.8,89,52,1016,26,250,6.08,0,590,RE,W,0,0,0.6953119752837665,0
401513,0,564,853,9237,Granada,15101,23156,32,1,31.5,0,35,1011,20,285,2.44,1,434,RE,YE,0,0,0.6521419934358266,0
299590,1,384,802,118500,Torino,40184,41507,251,1,22.7,76,83,1015,4,17,0.83,1,325,W,W,0,0,0.9681258582889634,0
401524,1,564,853,177,Sevilla,29399,45500,32,1,28.3,0,47,1015,10,223,1.97,1,821,W,RE,0,0,0.6461318681318682,0
2362,2,8,13,212,Sunderland,43515,48707,462,1,18.3,50,77,1014,10,300,3.25,0,39,RE,RE,0,0,0.8934034122405404,0
253046,1,301,765,1715,Guingamp,16056,18378,17,1,20.5,81,61,1024,18,274,6.97,0,886,RE,BL,0,0,0.8736532810969637,0
2373,1,8,13,214,London,56977,66000,462,1,21.0,7,53,1018,46,264,6.53,0,156,RE,RE,0,0,0.8632878787878788,0
253058,1,301,765,6164,Saint-etienne,23661,42000,17,1,21.9,52,41,1023,28,31,4.36,0,209,GRN,BL,0,0,0.5633571428571429,0
299602,1,384,802,1721,Milano,25000,80018,251,1,28.2,5,48,1012,10,255,3.03,0,125,RE,W,0,0,0.31242970331675374,0
401535,1,564,853,318243,Gijón,23046,29600,32,1,22.3,0,66,1024,15,60,4.89,0,220,RE,RE,0,0,0.778581081081081,0
401544,2,564,853,133,San Sebastián,27720,32076,32,1,19.8,10,70,1026,36,2,2.25,0,347,GRN,W,0,0,0.8641975308641975,0
299628,1,384,802,5515,Bologna,18400,36532,251,1,24.7,49,76,1012,10,81,1.78,1,327,RE,GRN,0,0,0.5036680170809154,0
253068,1,301,765,131,Paris,46011,47929,17,1,19.1,25,53,1016,10,310,2.78,1,288,BL,W,0,0,0.9599824740762377,0
299685,0,384,802,598,Pescara,20000,23800,251,1,26.0,26,83,1014,10,70,1.5,1,181,W,RE,0,0,0.8403361344537815,0
299674,2,384,802,510,Palermo,12000,36349,251,1,26.4,0,70,1014,10,301,0.75,1,763,PU,GRN,0,0,0.33013287848358963,0
299660,1,384,802,86,Genova,19800,36599,251,1,24.9,27,75,1012,10,131,0.78,1,576,RE,RE,0,0,0.5409983879340966,0
299649,2,384,802,7220,Empoli,10000,19847,251,1,26.7,0,62,1017,10,280,0.33,1,178,BL,W,0,0,0.5038544868242052,0
299638,1,384,802,443,Verona,14000,42160,251,1,25.0,50,73,1015,10,268,1.53,1,144,YE,BL,0,0,0.33206831119544594,0
299616,2,384,802,13977,Bergamo,12000,26393,251,1,25.0,0,61,1013,10,280,2.58,1,475,GRN,W,1,0,0.45466600992687456,0
401554,0,564,853,5188,Madrid,27720,54960,32,1,27.1,0,30,1018,12,360,0.03,1,284,RE,W,1,0,0.5043668122270742,0
401564,2,564,853,9239,Vigo,16578,31800,32,1,26.7,0,40,1019,19,228,0.11,0,466,GRN,W,0,0,0.5213207547169811,0
401573,2,564,853,9240,Valencia,37144,54000,32,1,25.5,14,68,1022,10,38,1.03,1,1875,W,YE,0,0,0.6878518518518518,0
95781,1,82,219,53,Munich,75000,75000,11,1,22.0,0,73,1017,10,60,0.5,1,574,RE,BL,0,0,1.0,0
401582,0,564,853,68,Sevilla,34543,60721,32,1,35.4,0,30,1013,10,219,1.0,1,699,GRN,BL,0,0,0.5688806179081373,0
253080,1,301,765,6159,Marseille,26193,67394,17,1,27.1,4,45,1013,10,188,2.42,1,845,W,W,1,0,0.38865477638958956,0
401591,0,564,853,89,Cornella de Llobregat,17725,40500,32,1,23.8,8,72,1018,21,297,0.53,1,761,BL,RE,0,0,0.43765432098765433,0
2382,0,8,13,209,London,31211,5000,462,1,24.2,1,63,1015,10,73,6.33,0,304,W,RE,1,0,1.0,0
95790,1,82,219,2166,Dortmund,81360,81365,11,1,29.1,2,45,1017,10,69,2.69,0,175,YE,BL,0,0,0.9999385485159467,0
95800,1,82,219,1946,Cologne,50000,50000,11,1,32.5,16,44,1015,8,106,2.92,0,2886,W,BL,0,0,1.0,0
96108,1,82,219,2169,Frankfurt am Main,47000,51500,11,1,35.0,0,28,1012,10,215,2.11,0,199,BL,W,0,0,0.912621359223301,0
95810,0,82,219,1610,Hamburg,50107,57000,11,1,25.3,0,51,1015,10,43,3.61,0,550,W,RE,0,0,0.8790701754385964,0
95819,2,82,219,2165,Augsburg,26172,30660,11,1,29.4,0,36,1019,9,12,2.5,0,457,GRN,GRN,0,0,0.8536203522504893,0
2420,1,8,13,117,Leicester,31727,32312,462,1,17.6,69,82,1015,11,39,3.53,0,220,BL,W,0,1,0.9818952711067096,0
2400,0,8,13,201,London,23503,25073,462,1,23.7,15,65,1012,21,90,4.42,0,143,BL,RE,0,0,0.9373828421010649,0
2391,1,8,13,321614,London,41607,41798,462,1,23.8,10,62,1012,24,98,5.39,0,292,BL,BL,0,0,0.9954304033685822,0
2438,2,8,13,19,Watford,20545,22200,462,1,24.2,63,61,1013,28,95,6.11,0,23,YE,YE,0,0,0.9254504504504505,0
2429,0,8,13,167,Southampton,30152,32505,462,1,21.5,59,80,1013,16,207,4.0,0,446,RE,RE,0,0,0.9276111367481926,0
2411,1,8,13,12,Liverpool,39581,40569,462,1,18.9,80,72,1015,19,95,3.58,0,73,BL,GRN,0,0,0.9756464295397964,0
253090,1,301,765,4478,Dijon,10369,16098,17,1,32.8,0,36,1015,29,161,3.58,0,175,RE,RE,0,0,0.6441172816498943,0
299698,2,384,802,7189,Roma,31340,72698,251,1,29.5,0,47,1013,10,239,3.72,0,525,GRN,YE,0,0,0.43109851715315417,0
401611,1,564,853,9242,Eibar,4419,7083,32,1,29.5,26,47,1015,10,308,5.17,0,448,BL,RE,0,0,0.6238881829733164,0
401602,2,564,853,56,Pamplona,16610,19800,32,1,35.5,12,18,1012,19,210,3.36,0,62,RE,RE,0,0,0.8388888888888889,0
96446,1,82,219,180,Mönchengladbach,52183,54057,11,1,32.1,47,48,1017,10,132,3.06,0,46,W,W,0,0,0.96533288935753,0
2449,2,8,13,199,Hull,24560,25400,462,1,16.6,54,83,1014,7,158,2.72,0,131,RE,RE,0,0,0.9669291338582677,0
253124,0,301,765,51,Nice,16355,36178,17,1,26.1,0,72,1018,21,178,1.94,1,829,RE,W,0,0,0.4520703189783847,0
253144,1,301,765,2042,Longeville-lès-Metz,14805,26661,17,1,29.7,0,37,1014,35,189,3.31,1,530,RE,BL,0,0,0.5553055024192641,0
253134,1,301,765,633,Caen,15695,21215,17,1,29.2,89,49,1012,24,306,1.81,0,1052,BL,BL,0,0,0.7398067405137874,0
253113,0,301,765,126,Montpellier,9163,22000,17,1,24.0,0,72,1019,29,199,2.97,1,657,BL,BL,0,0,0.4165,0
253101,2,301,765,2046,Tomblaine,15587,20087,17,1,30.8,0,40,1014,37,180,1.5,1,691,W,RE,0,0,0.7759745108776821,0
401619,1,564,853,2020,Madrid,65684,81044,32,1,33.6,0,20,1012,27,230,5.25,1,466,W,RE,0,0,0.8104733231331128,0
299709,1,384,802,134,Napoli,27231,60240,251,1,26.6,0,64,1014,10,274,2.06,1,661,RE,W,0,0,0.4520418326693227,0
401628,0,564,853,293,Leganés,10958,11454,32,1,29.0,0,28,1013,10,231,2.11,1,8,W,GRN,0,0,0.9566963506198708,0
2458,0,8,13,119,West Bromwich,23690,26445,462,1,21.5,50,72,1008,10,359,1.03,0,236,BL,RE,0,0,0.8958215163546984,0
253155,1,301,765,2081,Bordeaux,23207,42115,17,1,27.9,4,40,1020,28,281,4.14,0,273,BL,YE,0,0,0.5510388222723496,0
96463,1,82,219,1944,Berlin,41648,74649,11,1,34.8,78,24,1014,10,208,3.5,0,0,GRN,RE,0,0,0.5579177216037723,0
2467,1,8,13,151,Manchester,54008,55097,462,1,19.1,18,72,1013,40,333,4.22,0,262,GRN,RE,0,0,0.9802348585222426,0
253166,0,301,765,6164,Saint-etienne,23786,42000,17,1,30.6,53,30,1016,28,222,1.83,0,313,GRN,W,0,0,0.5663333333333334,0
96488,0,82,219,1618,Sinsheim,24188,30164,11,1,32.2,30,36,1018,10,271,1.39,0,340,BL,W,0,0,0.801883039384697,0
299723,0,384,802,1721,Milano,40527,80018,251,1,31.7,0,31,1015,10,215,1.72,0,886,BL,PU,0,0,0.5064735434527231,0
401636,1,564,853,1716,Las Palmas de Gran Canaria,18837,31250,32,1,27.6,13,70,1017,10,20,11.03,0,1494,YE,RE,0,0,0.602784,0
401649,0,564,853,1747,Vitoria-Gasteiz,16236,19840,32,1,21.2,43,64,1021,10,14,6.72,0,252,BL,RE,0,0,0.8183467741935484,0
401658,2,564,853,9162,Bilbao,46365,53289,32,1,20.7,92,87,1023,10,330,2.36,1,467,RE,GRN,0,0,0.8700669931880876,0
299757,1,384,802,7223,Firenze,30000,47300,251,1,27.0,0,54,1017,10,210,4.06,1,186,PU,YE,0,0,0.6342494714587738,0
299806,1,384,802,7224,Udine,8000,25000,251,1,26.0,0,65,1013,10,243,0.08,1,316,W,W,0,0,0.32,0
253176,1,301,765,4451,Monaco,15219,18523,75285,1,17.5,25,91,1014,10,191,0.06,1,693,RE,W,0,1,0.8216271662257734,0
299745,2,384,802,598,Pescara,821,23800,251,1,24.0,0,73,1014,10,340,1.0,1,479,BL,W,1,0,0.03449579831932773,0
299794,1,384,802,142,Torino,16000,27994,251,1,29.1,0,38,1015,10,301,0.47,1,296,RE,YE,0,0,0.5715510466528542,0
299782,1,384,802,1613,Reggio nell'Emilia,10000,21584,251,1,27.6,0,45,1011,10,9,0.5,1,383,GRN,GRN,0,0,0.4633061527057079,0
299735,0,384,802,128,Cagliari,15416,16074,251,1,27.7,0,42,1017,10,332,2.06,1,412,RE,YE,1,0,0.9590643274853801,0
299769,1,384,802,86,Genova,20000,36599,251,1,24.7,27,77,1012,10,91,0.11,1,155,BL,W,0,0,0.546463018115249,0
401666,0,564,853,2028,Villarreal,18740,23500,32,1,25.8,0,81,1017,19,79,1.08,1,584,YE,W,0,0,0.7974468085106383,0
96514,2,82,219,2138,Gelsenkirchen,62271,62271,11,1,18.2,0,63,1010,10,168,0.5,1,494,BL,RE,0,0,1.0,0
401673,0,564,853,133,San Sebastián,17739,32076,32,1,18.9,89,81,1020,10,304,0.03,1,398,GRN,RE,0,0,0.553030303030303,0
253187,0,301,765,131,Paris,44327,47929,17,1,21.5,39,48,1019,10,112,1.39,1,409,BL,W,0,0,0.9248471697719544,0
401683,2,564,853,9239,Vigo,18064,31800,32,1,22.3,49,65,1019,11,184,0.14,0,466,GRN,GRN,0,0,0.5680503144654088,0
2476,2,8,13,206,Manchester,75272,75635,462,1,16.0,81,67,1016,10,333,1.69,0,6,RE,BL,0,0,0.9952006346268262,0
96630,1,82,219,2063,Freiburg im Breisgau,24000,74649,11,1,26.0,0,42,1013,10,130,2.0,0,495,RE,BL,1,0,0.3215046417232649,0
96559,0,82,219,80,Wolfsburg,29067,30000,11,1,27.3,28,47,1017,10,169,3.33,0,319,GRN,W,0,0,0.9689,0
96579,2,82,219,111,Ingolstadt,14100,15800,11,1,28.0,27,42,1019,10,80,2.08,0,437,RE,GRN,0,0,0.8924050632911392,0
96604,1,82,219,66,Darmstadt,17000,1565,11,1,10.0,50,76,1013,10,0,0.0,0,2807,BL,W,1,0,1.0,0
96536,1,82,219,1947,Leverkusen,30210,30210,11,1,28.0,0,39,1012,10,164,1.5,0,346,BL,W,0,0,1.0,0
2525,2,8,13,207,Stoke,27385,30089,462,1,15.3,83,70,1010,25,327,1.86,0,233,RE,W,0,0,0.9101332712951578,0
2535,2,8,13,214,London,56974,66000,462,1,18.5,17,94,1011,4,202,4.86,0,29,RE,YE,0,0,0.8632424242424243,0
2515,2,8,13,203,Middlesbrough,30551,34988,462,1,15.4,66,61,1010,26,25,2.22,0,362,RE,YE,0,0,0.8731850920315537,0
2505,0,8,13,200,Burnley,18803,21401,462,1,15.6,43,64,1010,25,288,1.67,0,123,RE,RE,0,0,0.8786038035605813,0
401693,1,564,853,2020,Madrid,69567,81044,32,1,31.3,33,22,1011,19,124,1.94,0,311,W,RE,0,0,0.8583855683332511,0
2496,1,8,13,204,London,59962,60272,462,1,18.5,12,93,1011,5,203,4.64,0,115,RE,BL,0,0,0.9948566498539952,0
2486,1,8,13,146,Bournemouth,11184,11700,462,1,17.8,78,93,1011,16,298,3.19,0,198,RE,GRN,0,0,0.9558974358974359,0
253197,2,301,765,6161,Décines-Charpieu,40976,59186,17,1,29.7,3,33,1013,33,341,4.08,0,444,W,W,0,0,0.6923258878788903,0
299817,1,384,802,118500,Torino,39519,41507,251,1,29.6,0,31,1017,12,120,1.44,0,242,W,GRN,0,0,0.9521044643072253,0
402634,1,564,853,177,Sevilla,34060,45500,32,1,32.3,0,32,1013,10,208,2.67,0,1356,W,YE,0,0,0.7485714285714286,0
