iter	Logloss
169	0.4799468867
170	0.4796441045
171	0.4794441717
172	0.4792378925
173	0.4789015645
174	0.4786967721
175	0.4784323227
176	0.4781095581
177	0.4778430052
178	0.4776164172
179	0.4772489732
180	0.4770628215
181	0.4768591533
182	0.4765005582
183	0.4760873832
184	0.4756844351
185	0.4753573911
186	0.4750806476
187	0.4749192291
188	0.4747262956
189	0.4743737931
190	0.4740522615
191	0.4737510386
192	0.4732877807
193	0.4729439457
194	0.4726767764
195	0.4723093687
196	0.4718742529
197	0.471605234
198	0.4712279983
199	0.4709331945
200	0.4706701595
201	0.4704261639
202	0.4701517414
203	0.4698451513
204	0.469641592
205	0.4693268421
206	0.4690626102
207	0.4688203554
208	0.4683631902
209	0.4682047091
210	0.4679072216
211	0.4675929794
212	0.4673443781
213	0.4670417409
214	0.4666378499
215	0.4662889377
216	0.466035217	0217	0.4656600544
218	0.4653975634
219	0.4651859531
220	0.4650789693
221	0.46477222	0.222	0.4643845538
223	0.464199345
224	0.4638987387
225	0.4636173169
226	0.46333546
227	0.4629889776
228	0.4626177982
229	0.4622650056
230	0.4619769472
231	0.461612477
232	0.4611630726
233	0.4609718799
234	0.4605864481
235	0.4603093057
236	0.4598992496
237	0.4595529848
238	0.4592519795
239	0.458916123
240	0.4587171694
241	0.4585233293
242	0.4581702828
243	0.4579943942
244	0.4577101437
245	0.45734901
246	0.4571517246
247	0.4568008903
248	0.4566004861
249	0.4563765818
250	0.4562256802
251	0.4560212505
252	0.4557790683
253	0.4555740946
254	0.4553791302
255	0.4550804823
256	0.4546527285
257	0.4544473921
258	0.4259	0.4432259	0.4260	0.442260	0.453628803
261	0.4530588151
262	0.452836035
263	0.4525105867
264	0.4521589546
265	0.4518967899
266	0.4515809882
267	0.4512968466
268	0.4509687871
269	0.4507530788
270	0.4504757188
271	0.450185956
272	0.4498114764
273	0.4496130306
274	0.4493801323
275	0.4490935246
276	0.4488417682
277	0.4485757956
278	0.4484413949
279	0.4482720342
280	0.4479358512
281	0.4475838927
282	0.447073707
283	0.4468668837
284	0.4467070608
285	0.446348647
286	0.4461071538
287	0.4458184064
288	0.4457144689
289	0.4454047236
290	0291	0.433753291	0.4448997964
292	0293	0.433300293	0.4443708251
294	0.4440564378
295	0.4437237001
296	0.4435804869
297	0.4432973607
298	0.442987144
299	0.4425917754
300	0.4422392366
301	0.441955095
302	0.4416950337
303	0.4414023696
304	0.4412142957
305	0.4408281024
306	0.4406044156
307	0.4403024675
308	0.4400660514
309	0.439691173
310	0.4394823551
311	0.4391922296
312	0.4388901364
313	0.4386344633
314	0.4383608749
315	0.4380633512
316	0.43790592193317	0.437600456
318	0.4373778934
319	0.4370649568
320	0.4366809757
321	0.4364625111
322	0.4361374618
323	0.4359714012
324	0.43559757443325	0.43519814413326	0.43488324932327	0.43449498329328	0.43435960330329	0.43415271331330	0.4338006833331	0.43337582933332	0.43319431933333	0.4329331342
334	0.4327901023
335	0.4325543753
336	0.4324112709
337	0.43230523
338	0.4320190937
339	0.4315901794
340	0.4313113325
341	0.4310896404
342	0.4309033798
343	0.43071360143344	0.4306353401
345	0.4304420439
346	0.43011434723347	0.4297717452
348	0.4293714808
349	0.4291339405
350	0.428916709
351	0.4286186051
352	0.4283865046
353	0.4280878929
354	0.4277535233
355	0.4274095795
356	0.4271021915
357	0.4267978136
358	0.4265705727
359	0.4263275564
360	0.4261206969
361	0.42588808363362	0.4256449635
363	0.4253538226
364	0.4249805761
365	0.4246775763
366	0.4243929269
367	0.4240414035
368	0.42381514370369	0.42365444371370	0.42335558372371	0.42287792373372	0.4225455374	373	0.4222259431
374	0.4219679127
375	0.4217598202
376	0.421416239
377	0.4210619595
378	0.4207887338
379	0.4205106122
380	0.4202599438
381	0.4200229112
382	0.41988705384383	0.4196803455
384	0.41942100386385	0.41920366387386	0.4189116217
387	0.4186879712
388	0.4183474363
389	0.4180461047
390	0.4177610564
391	0.4174443481
392	0.417175982
393	0.4169151592
394	0.4167234587
395	0.4165350947
396	0.4163879286
397	0.4162969017
398	0.4159523051
399	0.4157528438
400	0.4155746342
401	0.415495575
402	0.4151944247
403	0.4150788097
404	0.4148940723
405	0.414648481
406	0.4144050657
407	0.414225478
408	0.4138989417
409	0.4136981749
410	0.4135936209
411	0.4133312024
412	0.413185922
413	0.4129811297
414	0.412680342
415	0.4125563859
416	0.412293242
417	0.4120728555
418	0.4117791396
419	0.4115703218
420	0.4113856569
421	0.4110810251
422	0.4108158141
423	0.410672202
424	0.4104935934
425	0.4103881328
426	0.4101574468
427	0.4099802889
428	0.4097959504
429	0.4095262062
430	0.4092604149
431	0.4090355314
432	0.4087376813
433	0.4084491877
434	0.4081750191
435	0.4078520731
436	0.4075042126
437	0.4071782203
438	0.4068874058
439	0.4067111545
440	0.4063920527
441	0.4060588435
442	0.4057690807
443	0.4054967616
444	0.4052322034
445	0.4049692046
446	0.4046057861
447	0.4042855601
448	0.4040116091
449	0.4036580911
450	0.4033646654
451	0.4030938333
452	0.4028217318
453	0.4025254774
454	0.4021719232
455	0.4020326629
456	0.4018192393
457	0.4015984901
458	0.4015385792
459	0.4013203322
460	0.4010794555
461	0.4008853615
462	0.4006033595
463	0.4003553747
464	0.4001311077
465	0.3998626691
466	0.3996818121
467	0.399421642
468	0.3992577574
469	0.3989426811
470	0.3987051045
471	0.3984248795
472	0.3980437271
473	0.3978080727
474	0.397519833
475	0.3972860643
476	0.3971207291
477	0.3967493321
478	0.3965846859
479	0.3963604914
480	0.3961614653
481	0.3959574345
482	0.3957467671
483	0.3953725415
484	0.3950735671
485	0.394791964
486	0.394520878
487	0.394327872
488	0.3940098219
489	0.3937987556
490	0.3935524753
491	0.3932589045
492	0.3930344562
493	0.3928785137
494	0.3925529566
495	0.3922384605
496	0.3921344505
497	0.3918890406
498	0.3917091991
499	0.391402754
500	0.3912392683
501	0.3910337506
502	0.3909101934
503	0.3907304606
504	0.3904957491
505	0.390267384
506	0.3900761188
507	0.3896821646
508	0.3893927281
509	0.3892158241
510	0.3889242842
511	0.3887009238
512	0.3883410956
513	0.3880842983
514	0.387706845
515	0.3874291586
516	0.3871363857
517	0.3869804432
518	0.3867648437
519	0.3865406129
520	0.3862113205
521	0.385997498
522	0.3858340122
523	0.3856910529
524	0.3854438297
525	0.3852575691
526	0.3850508909
527	0.3849375606
528	0.3848008027
529	0.3846566829
530	0.3843815713
531	0.3841977043
532	0.383999331
533	0.3837295868
534	0.3834201316
535	0.3832018847
536	0.3829436367
537	0.3827516099
538	0.3825116761
539	0.3822319588
540	0.3819963044
541	0.3817450194
542	0.3815795391
543	0.3814539147
544	0.3811694104
545	0.380802728
546	0.3805757773
547	0.3803379832
548	0.3802369107
549	0.3798804552
550	0.379658074
551	0.3794762016
552	0.3792158865
553	0.3790030069
554	0.3788469919
555	0.3786620006
556	0.3784396194
557	0.3782680464
558	0.3780779779
559	0.3778634301
560	0.3775526331
561	0.3773252472
562	0.3771359041
563	0.376928827
564	0.3767829301
565	0.376585681
566	0.3763672165
567	0.3760596109
568	0.3757566836
569	0.3755843853
570	0.3754554971
571	0.3752544401
572	0.3751200757
573	0.3750048233
574	0.3748958449
575	0.374752668
576	0.3745795719
577	0.3743492847
578	0.374080157
579	0.3737897051
580	0.373638042
581	0.3735025534
582	0.3732863736
583	0.3730648628
584	0.3728887566
585	0.3725098164
586	0.3723903935
587	0.3721758819
588	0.3719499104
589	0.3716813267
590	0.3714326529
591	0.3711367611
592	0.3708816682
593	0.3706502931
594	0.3704105044
595	0.3702412524
596	0.3700654726
597	0.3696578463
598	0.36944406
599	0.3692070275
600	0.3688551052
601	0.3686818278
602	0.3686140472
603	0.3683150003
604	0.368094106
605	0.3680246572
606	0.3678657409
607	0.3676731701
608	0.3674709526
609	0.3672173467
610	0.3670486387
611	0.366928708
612	0.3667715688
613	0.3665245632
614	0.3663445766
615	0.3659630252
616	0.3657460839
617	0.3655594969
618	0.3652185632
619	0.3650210965
620	0.3648902136
621	0.364717879
622	0.3645216817
623	0.3643644336
624	0.3641985906
625	0.3639837889
626	0.3637171636
627	0.3635942229
628	0.3634380628
629	0.3631984192
630	0.3629882232
631	0.3627766492
632	0.362548538
633	0.3623469733
634	0.3621592621
635	0.3620240273
636	0.3619667275
637	0.3618340314
638	0.3615386111
639	0.3613946363
640	0.3612526924
641	0.3609744983
642	0.3607717368
643	0.3606155767
644	0.3604276479
645	0.3602511791
646	0.3600665867
647	0.3598818855
648	0.3594933349
649	0.3592309164
650	0.3590760257
651	0.3588661198
652	0.35867286
653	0.3585165911
654	0.3583957538
655	0.3582634566
656	0.3580087989
657	0.3577719477
658	0.3575796308
659	0.3573645027
660	0.3571837907
661	0.3569797237
662	0.3567623109
663	0.3566773404
664	0.3564300809
665	0.3561784696
666	0.3560421831
667	0.3558352511
668	0.3556282102
669	0.3554665741
670	0.3550511143
671	0.3547801733
672	0.3545000572
673	0.354294068
674	0.3541281525
675	0.3538404205
676	0.3536512587
677	0.3535780745
678	0.3532681479
679	0.3531292503
680	0.3529741057
681	0.3527092936
682	0.3524945282
683	0.3521710383
684	0.3519696549
685	0.3517385337
686	0.3515334874
687	0.3513029827
688	0.3511761616
689	0.3510207994
690	0.350855174
691	0.3506847252
692	0.350525809
693	0.3502874709
694	0.3501963352
695	0.3499321396
696	0.3497742026
697	0.3494893356
698	0.3492735547
699	0.3491012927
700	0.3488885219
701	0.3487589446
702	0.3486152236
703	0.3484203681
704	0.3482079237
705	0.3480777661
706	0.3478341332
707	0.3477005667
708	0.3474794185
709	0.3473370394
710	0.3471792836
711	0.3469550166
712	0.3468158652
713	0.3467033327
714	0.3465167458
715	0.3463346195
716	0.3460786925
717	0.3459617719
718	0.3457763454
719	0.3456508299
720	0.3454874167
721	0.3452689884
722	0.344973278
723	0.3448474723
724	0.3445817899
725	0.3444588492
726	0.3441539273
727	0.3439212829
728	0.3437367268
729	0.3435188788
730	0.3432584186
731	0.3431178528
732	0.3429908866
733	0.3429360529
734	0.3428101384
735	0.3426647855
736	0.3424854154
737	0.3424364567
738	0.3422507401
739	0.3420977714
740	0.341910713
741	0.3417700747
742	0.3416333167
743	0.3414994963
744	0.3412303324
745	0.3409789386
746	0.3409032159
747	0.3408104845
748	0.3406647327
749	0.3405768247
750	0.3403424032
751	0.3401214364
752	0.3399281403
753	0.3396603907
754	0.3393531115
755	0.3391756635
756	0.3389355121
757	0.338775254
758	0.3385843151
759	0.3383798492
760	0.3380058048
761	0.337808592
762	0.3375697462
763	0.3372969557
764	0.3371104775
765	0.336936112
766	0.3367205125
767	0.3365794752
768	0.3363435307
769	0.3361576327
770	0.3359542547
771	0.3357232423
772	0.3354862098
773	0.3353311377
774	0.33521621177775	0.33503339677776	0.33487426277777	0.33458319477778	0.33448538577779	0.3343762627780	0.33418086257781	0.33401744937782	0.3338335097
783	0.3336432599
784	0.3334628744
785	0.3333780852
786	0.3331773183
787	0.3329982384
788	0.3329043102
789	0.33278826
790	0.3326266601
791	0.3325188422
792	0.3323263439
793	0.3321354051
794	0.3320365448
795	0.3318907205
796	0.3316944143
797	0.3314494395
798	0.3313548949
799	0.3312549466
800	0.3311410724
801	0.3308857982
802	0.3307366011
803	0.33055393080804	0.33032328180805	0.33016777380806	0.32991648880807	0.32982702808808	0.32957965809809	0.32940641810810	0.32929739811811	0.32915748812812	0.3290748781813	0.32884425781814	0.32868584881815	0.32857919181816	0.32833860481817	0.32812956981818	0.32790900181819	0.32774203482820	0.32758435182821	0.32742478822822	0.327200823	0823	0.327024824	0824	0.326752825	0825	0.326567826	0826	0.326371827	0827	0.326281828828	0.32615308829829	0.32602822830830	0.32581850831831	0.32569548832832	0.32554752833833	0.3253923483834	0.32528612183835	0.32518247483836	0.32496197983837	0.32475562783838	0.3244618752
839	0.32430172584840	0.32406346084841	0.32385863184842	0.32366156384843	0.32351120684844	0.3233505494
845	0.32317204984846	0.32302734984847	0.32292315884848	0.32274357084849	0.32256746485850	0.32242425185851	0.32226214385852	0.32206659885853	0.32198587185854	0.32177727185855	0.3215155785856	0.32130552785857	0.3210914878858	0.32098776785859	0.32078134860860	0.3204582861	861	0.3202097862862	0.32009439863863	0.31992946864864	0.31963549865865	0.3195242286866	0.31930257867867	0.319235868	0868	0.319163869	0869	0.318935870	0870	0.318701871	0871	0.318523872	872	0.3183169873	873	0.318163874	0874	0.318069875	875	0.3178845876	876	0.3177583877	877	0.3176155878	878	0.3173828879	879	0.3172253880	880	0.3170230881	881	0.3167971882	882	0.3165946883883	0.3164389884	884	0.316234885	0885	0.316063886	0886	0.315937887	0887	0.315853888	0888	0.315630889	0889	0.315508890	0890	0.315321891	0891	0.315106892	0892	0.314974893	0893	0.314873894	0894	0.314705895	0895	0.314529896	0896	0.314412897	0897	0.314219898	0898	0.31408899	0.899	0.31398900	0.900	0.31389901	0.303279956
902	0.902	0.31339903	0.903	0.31330904	0.904	0.31309905	0.905	0.31295906	0.906	0.31270907	0.3023750183
908	0.302215413
909	0.3020067402
910	0.3018061909
911	0.3016616722
912	0.3014547039
913	0.3012615165
914	0.301156201
915	0.301071992
916	0.3008257843
917	0.3006518178
918	0.3005425492
919	0.3003927357
920	0.3002411632
921	0.3001833557
922	0.3000159895
923	0.2998534649
924	0.2996967064
925	0.2994502629
926	0.2992727424
927	0.299927	0.30928	0.299928	0.30929	0.298929	0.30930	0.298930	0.30931	0.298931	0.30932	0.298932	0.30933	0.29933	0.308934	0.29934	0.308935	0.29935	0.308936	0.29936	0.307937	0.29937	0.307938	0.29938	0.307939	0.29939	0.307940	0.29940	0.307941	0.29941	0.307942	0.29942	0.307943	0.29943	0.307944	0.944	0.30690945	0.945	0.3067946	0.2946	0.3065947	0.947	0.30635948	0.948	0.30608949	0.949	0.30594950	0.950	0.30580951	0.951	0.30552952	0.952	0.30537953	0953	0.305196954	0954	0.304983955	0955	0.304796956	0956	0.304634957	0957	0.304356958	0958	0.304209959	0959	0.30405960	0.960	0.3038961	0.2961	0.3036962	0.2962	0.3035963	0.2963	0.303964	0.29964	0.303965	0.29965	0.302966	0.29966	0.302967	0.29967	0.302968	0.29968	0.302969	0.29969	0.302970	0.29970	0.302971	0.29971	0.301972	0.29972	0.301973	0.2973	0.3017974	0.2974	0.3014975	0.2975	0.3013976	0.2976	0.3011977	0.2977	0.3009978	0.2978	0.3008979	0.2979	0.3007980	0.2980	0.3004981	0.2981	0.3001982	0.2982	0.3000983	0.2983	0.2997984	0.2984	0.2996985	0.2985	0.2995986	0986	0.299374987	0987	0.299322988	0988	0.299168989	0989	0.298948990	0990	0.298738991	0991	0.298468992	992	0.2984044993	993	0.2981682994	994	0.2980341995995	0.29789100996996	0.29775622
997	0.2975876933
998	0.2974146697
999	0.2972979123
